,co_code,company_name,co_industry_type,co_industry_gp_code,co_industry_name,nic_prod_code,nic_name
5166,190447,RAJASTHAN GLYOXAL LTD.,1.0,101040401000000.0,Wholesale trading,46102.0,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals"
5167,190485,RAJASTHAN PETRO SYNTHETICS LTD.,1.0,101041517000000.0,Education,85302.0,Higher education in engineering / other technical courses leading to a university degree or equivalent
5168,190492,RAJASTHAN POLYESTERS LTD.,1.0,101011515000000.0,Textile processing,20203.0,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
5169,190493,RAJASTHAN POLYMERS & RESINS LTD. [MERGED],1.0,101012040000000.0,Polymers,20131.0,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
5170,190497,RAJASTHAN POLYVIN TUBES LTD.,1.0,101012045010000.0,"Plastic tubes, pipes, fittings & sheets",22209.0,Manufacture of other plastics products n.e.c.
5171,190511,R S W M LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5172,190534,RAJASTHAN TELEPHONE INDS. LTD.,1.0,101012525050000.0,Consumer electronics,26302.0,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX"
5173,190536,RAJASTHAN TOOLS LTD. [MERGED],1.0,101013555000000.0,Diversified metal & metal products,25932.0,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/ forestry
5174,190545,RAJASTHAN TUBE MFG. CO. LTD.,1.0,101013501200000.0,Steel pipes & tubes,24311.0,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel"
5175,190601,RAJATH FINANCE LTD.,2.0,102040000000000.0,Other fund based financial services,64990.0,"Other financial service activities, except insurance and pension funding activities, n.e.c."
5176,190638,RAJDARSHAN INDUSTRIES LTD.,1.0,101060201000000.0,Industrial construction,42209.0,Construction of utility projects n.e.c.
5177,190698,ALLIED HERBALS LTD.,2.0,102040000000000.0,Other fund based financial services,64300.0,"Trusts, funds and other financial vehicles"
5178,190727,RAJDOOT PAINTS LTD. [MERGED],1.0,101013030000000.0,Paints & varnishes,20221.0,"Manufacture of paints and varnishes, enamels or lacquers"
5179,190844,REMI ELEKTROTECHNIK LTD.,1.0,101014010900000.0,Other electronics,26516.0,"Manufacture  of  laboratory  analytical  instruments  and  miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc."
5180,190885,REMI EDELSTAHL TUBULARS LTD.,1.0,101013501200000.0,Steel pipes & tubes,24311.0,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel"
5181,190887,RAJENDRA MINING SPARES CO. LTD.,1.0,101040401000000.0,Wholesale trading,46909.0,Other non-specialised wholesale trade n.e.c.
5182,190901,RAJENDRA PENTA APPLIANCES & ELECTRONICS LTD.,1.0,101014010900000.0,Other electronics,26800.0,Manufacture of magnetic and optical media
5183,190998,RAJESH EXPORTS LTD.,1.0,101012520000000.0,Gems & jewellery,32111.0,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
5184,191089,RAJESH MALLEABLES LTD.,1.0,101040401000000.0,Wholesale trading,46620.0,Wholesale of metals and metal ores
5185,191166,RAJESH SOLVEX LTD.,1.0,101011101200000.0,Vegetable oils & products,10406.0,"Manufacture  of  oil  cakes  &  meals  incl.  residual  products,  e.g. Oleostearin,Palmstearin"
5186,191171,MAHAMAYA STEEL INDS. LTD.,1.0,101013501100000.0,Steel,25113.0,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)"
5187,191218,RAJESWARI INFRASTRUCTURE LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
5188,191273,RAJHANS FOODS LTD.,1.0,101011101703000.0,Milling products,10619.0,Other grain milling and processing n.e.c.
5189,191317,RAJINDER ALLOYS LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
5190,191329,RAJINDER PIPES LTD.,1.0,101013501200000.0,Steel pipes & tubes,24311.0,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel"
5191,191334,RAJINDER STEELS LTD.,1.0,101013501100000.0,Steel,24105.0,Manufacture of hot-rolled and cold-rolled products of steel
5192,191497,RAJKAMAL SYNTHETICS LTD.,1.0,110000000000000.0,Diversified,34.0,Diversified
5193,191517,RAJKOT INVESTMENT TRUST LTD.,2.0,102040000000000.0,Other fund based financial services,64990.0,"Other financial service activities, except insurance and pension funding activities, n.e.c."
5194,191543,RAJKUMAR FORGE LTD.,1.0,101013501150000.0,Castings & forgings,25910.0,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
5195,191578,RAJLAXMI INDUSTRIES LTD.,1.0,101040401000000.0,Wholesale trading,46411.0,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
5196,191615,MEDIAONE GLOBAL ENTERTAINMENT LTD.,1.0,101041520010000.0,Production & distribution of films,59111.0,Production of motion picture
5197,191702,RAJOO ENGINEERS LTD.,1.0,101014001050000.0,Industrial machinery,28292.0,Manufacture of machinery for working soft rubber or plastics or for the Manufacture of products of these materials
5198,191774,RAJPUTANA INVESTMENT & FINANCE LTD.,1.0,101040401000000.0,Wholesale trading,46411.0,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
5199,191796,RAJRATAN GLOBAL WIRE LTD.,1.0,101013501500000.0,Other ferrous metal products,24108.0,Manufacture of wire of steel by cold drawing or stretching
5200,191799,RAJRATAN SYNTHETICS LTD.,1.0,101011510000000.0,Man-made filaments & fibres,20203.0,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
5201,191865,RAJSHREE SUGARS & CHEMICALS LTD.,1.0,101011101150000.0,Sugar,10721.0,Manufacture or refining of sugar (sucrose) from sugarcane
5202,191879,RAJSHRI FOREX LTD. [MERGED],1.0,101012045010000.0,"Plastic tubes, pipes, fittings & sheets",22201.0,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)"
5203,191962,RAJVEBH ELECTRONICS LTD.,1.0,101012525050000.0,Consumer electronics,26302.0,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX"
5204,192023,RAKAN STEELS LTD.,1.0,101040401000000.0,Wholesale trading,46620.0,Wholesale of metals and metal ores
5205,192276,RALLIS INDIA LTD.,1.0,101012020000000.0,Pesticides,2021.0,Manufacture of pesticides and other agrochemical products
5206,192354,RAMINFO LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
5207,192359,GEMMIA OILTECH (INDIA) LTD.,1.0,101041510000000.0,Business services & consultancy,70200.0,Management consultancy activities
5208,192380,RAM LEATHER EXPORTS LTD.,1.0,101012505500000.0,Other leather & related products,151.0,"Tanning and dressing of leather; Manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
5209,192422,RAM RATNA WIRES LTD.,1.0,101014005010000.0,Wires & cables,27320.0,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
5210,192488,RAMA FIBRES LTD.,1.0,101011510000000.0,Man-made filaments & fibres,20203.0,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
5211,192516,SHREE RAMA NEWSPRINT LTD.,1.0,101015001050000.0,Paper & newsprint,17012.0,Manufacture of news print
